manga_id	manga_name	mangafox	mangahere
289727	Black Clover	http://fanfox.net/manga/black_clover	http://www.mangahere.cc/manga/black_clover
510822	Chichi Chichi	http://fanfox.net/manga/chichi_chichi	http://www.mangahere.cc/manga/chichi_chichi
166252	Dragons Rioting	http://fanfox.net/manga/dragons_rioting	http://www.mangahere.cc/manga/dragons_rioting
111321	Flying Witch (Ishizuka Chihiro)	http://fanfox.net/manga/flying_witch_ishizuka_chihiro	http://www.mangahere.cc/manga/flying_witch_ishizuka_chihiro
572429	Isekai Cheat Magician	http://fanfox.net/manga/isekai_cheat_magician	http://www.mangahere.cc/manga/isekai_cheat_magician
506996	Isekai Mahou Wa Okureteru!	http://fanfox.net/manga/isekai_mahou_wa_okureteru	http://www.mangahere.cc/manga/isekai_mahou_wa_okureteru
585545	Isekai Nonbiri Nouka	http://fanfox.net/manga/isekai_nonbiri_nouka	http://www.mangahere.cc/manga/isekai_nonbiri_nouka
351280	Kumo Desu Ga, Nani Ka?	http://fanfox.net/manga/kumo_desu_ga_nani_ka	http://www.mangahere.cc/manga/kumo_desu_ga_nani_ka
541259	Osake Wa Fuufu Ni Natte Kara	http://fanfox.net/manga/osake_wa_fuufu_ni_natte_kara	http://www.mangahere.cc/manga/osake_wa_fuufu_ni_natte_kara
581707	Peter Grill To Kenja No Jikan	http://fanfox.net/manga/peter_grill_to_kenja_no_jikan	http://www.mangahere.cc/manga/peter_grill_to_kenja_no_jikan
273559	Shiro No Koukoku Monogatari	http://fanfox.net/manga/shiro_no_koukoku_monogatari	http://www.mangahere.cc/manga/shiro_no_koukoku_monogatari
294226	Tensei Shitara Slime Datta Ken	http://fanfox.net/manga/tensei_shitara_slime_datta_ken	http://www.mangahere.cc/manga/tensei_shitara_slime_datta_ken
279046	Jiang Ye Manhua	http://fanfox.net/manga/jiang_ye	
351802	Spirit Blade Mountain Manhua	http://fanfox.net/manga/spirit_blade_mountain	
487862	Perfect Half Manhwa	http://fanfox.net/manga/perfect_half	
504100	Unity Of Heaven Manhua	http://fanfox.net/manga/unity_of_heaven	
574702	Lord Xue Ying Manhua	http://fanfox.net/manga/lord_xue_ying	
602375	Matano Okoshiwo	http://fanfox.net/manga/matano_okoshiwo	
607040	A Story About Treating A Female Knight Who Has Never Been Treated As A Woman As A Woman	http://fanfox.net/manga/a_story_about_treating_a_female_knight_who_has_never_been_treated_as_a_woman_as_a_woman	
625405	I Tried Asking In Dogeza	http://fanfox.net/manga/i_tried_asking_in_dogeza	
626874	Jiken Jaken!	http://fanfox.net/manga/jiken_jaken	
627253	Oppai, Futomomo, Sokoni Short Pants	http://fanfox.net/manga/oppai_futomomo_sokoni_short_pants	
628925	Hunter Age Manhua	http://fanfox.net/manga/hunter_age	
629109	Because I'M An Uncle Who Runs A Weapon Shop Manhua	http://fanfox.net/manga/because_i_m_an_uncle_who_runs_a_weapon_shop	
629218	The Girl From Random Chatting! Manhwa	http://fanfox.net/manga/the_girl_from_random_chatting	
629338	Yancha Gal No Anjou-San	http://fanfox.net/manga/yancha_gal_no_anjou_san	